First Name,Last Name,Date of Birth,IdentificationNumber,Address,Phone Number,Checking Account Number,Savings Account Number,Credit Account Number,Checking Starting Balance,Savings Starting Balance,Credit Starting Balance, Password, Email,Credit Max
Daniel,A,"December 5,  1953",79,"500 W. University Ave, El Paso, TX 79968",9157475042,1078,2078,3078,1311.17,3198.85,-186.96,A*Daniel!987,DanielA@disney.com,3938.0
Grecia,Navarrete,"March 29,  2011",56,"500 W. University Ave, El Paso, TX 79968",9157475019,1055,2055,3055,1339.79,3901.29,-475.59,Navarrete*Grecia!987,GreciaNavarrete@disney.com,9308.0
Mufassa,Disney,"May 24,  1938",13,"1313 Disneyland Dr, Anaheim, CA 92802",7147814636,1012,2012,3012,1100.32,4801.11,-346.32,Disney*Mufassa!987,MufassaDisney@disney.com,8216.0
Hernan,Garcia,"March 29,  1964",57,"500 W. University Ave, El Paso, TX 79968",9157475020,1056,2056,3056,715.18,3305.52,-511.05,Garcia*Hernan!987,HernanGarcia@disney.com,3625.0
Donald,Duck,"June 14,  2009",2,"1313 Disneyland Dr, Anaheim, CA 92802",7147814636,1001,2001,3001,368.81,4911.33,-1239.22,Duck*Donald!987,DonaldDuck@disney.com,4778.0
Daniel,Mejia,"November 1,  2002",78,"500 W. University Ave, El Paso, TX 79968",9157475041,1077,2077,3077,138.72,642.59,-1368.18,Mejia*Daniel!987,DanielMejia@disney.com,8870.0
Daniel,B,"October 13,  1999",80,"500 W. University Ave, El Paso, TX 79968",9157475043,1079,2079,3079,1423.9,105.65,-1387.1,B*Daniel!987,DanielB@disney.com,3924.0
Peter,Pan,"October 18,  1954",15,"1313 Disneyland Dr, Anaheim, CA 92802",7147814636,1014,2014,3014,135.9,2200.51,-1274.09,Pan*Peter!987,PeterPan@disney.com,5738.0
Daniel,Z,"September 24,  2008",103,"500 W. University Ave, El Paso, TX 79968",9157475066,1102,2102,3102,1497.87,1857.88,-1908.51,Z*Daniel!987,DanielZ@disney.com,8559.0
Hercules,Disney,"March 27,  2004",33,"1313 Disneyland Dr, Anaheim, CA 92802",7147814636,1032,2032,3032,1275.9,4413.97,-1381.5,Disney*Hercules!987,HerculesDisney@disney.com,3335.0
Daniel,J,"December 19,  1939",88,"500 W. University Ave, El Paso, TX 79968",9157475051,1087,2087,3087,156.17,21.57,-197.37,J*Daniel!987,DanielJ@disney.com,5794.0
Ursela,Mermaid,"September 10,  1967",19,"1313 Disneyland Dr, Anaheim, CA 92802",7147814636,1018,2018,3018,402.17,1786.29,-1821.94,Mermaid*Ursela!987,UrselaMermaid@disney.com,4262.0
Daniel,K,"December 31,  2015",89,"500 W. University Ave, El Paso, TX 79968",9157475052,1088,2088,3088,1699.61,1577.7,-165.76,K*Daniel!987,DanielK@disney.com,6233.0
Manuel,Melendez Lujan,"July 10,  1966",67,"500 W. University Ave, El Paso, TX 79968",9157475030,1066,2066,3066,1531.84,97.69,-908.91,Melendez Lujan*Manuel!987,ManuelMelendez Lujan@disney.com,7454.0
Eduardo,Garcia,"September 25,  1954",50,"500 W. University Ave, El Paso, TX 79968",9157475013,1049,2049,3049,1659.23,3148.33,-1846.05,Garcia*Eduardo!987,EduardoGarcia@disney.com,3591.0
Aladdin,Disney,"July 30,  1976",11,"1313 Disneyland Dr, Anaheim, CA 92802",7147814636,1010,2010,3010,1090.55,3508.81,-1711.79,Disney*Aladdin!987,AladdinDisney@disney.com,9035.0
Captaiin,Hook,"December 8,  1990",27,"1313 Disneyland Dr, Anaheim, CA 92802",7147814636,1026,2026,3026,1794.39,4656.42,-330.97,Hook*Captaiin!987,CaptaiinHook@disney.com,8348.0
Robert,Evans,"July 3,  1944",72,"500 W. University Ave, El Paso, TX 79968",9157475035,1071,2071,3071,204.97,4087.67,-1569.94,Evans*Robert!987,RobertEvans@disney.com,9454.0
Dale,Disney,"January 29,  2012",7,"1313 Disneyland Dr, Anaheim, CA 92802",7147814636,1006,2006,3006,614.56,4839.86,-1485.87,Disney*Dale!987,DaleDisney@disney.com,3974.0
Woody,Disney,"January 24,  1934",16,"1313 Disneyland Dr, Anaheim, CA 92802",7147814636,1015,2015,3015,1085.79,595.11,-1105.12,Disney*Woody!987,WoodyDisney@disney.com,4456.0
Kaa,Disney,"February 5,  1938",28,"1313 Disneyland Dr, Anaheim, CA 92802",7147814636,1027,2027,3027,1789.52,4776.21,-1369.45,Disney*Kaa!987,KaaDisney@disney.com,5541.0
Daniel,I,"September 17,  1930",87,"500 W. University Ave, El Paso, TX 79968",9157475050,1086,2086,3086,653.47,4810.3,-168.05,I*Daniel!987,DanielI@disney.com,3734.0
Laurence,Labayen,"March 12,  1953",65,"500 W. University Ave, El Paso, TX 79968",9157475028,1064,2064,3064,1529.55,1732.34,-1264.46,Labayen*Laurence!987,LaurenceLabayen@disney.com,5489.0
Evil,Queen,"June 24,  1992",29,"1313 Disneyland Dr, Anaheim, CA 92802",7147814636,1028,2028,3028,1037.81,2431.06,-1759.08,Queen*Evil!987,EvilQueen@disney.com,8201.0
Anthony,Jasso,"April 12,  1936",42,"500 W. University Ave, El Paso, TX 79968",9157475005,1041,2041,3041,1565.16,2838.84,-539.99,Jasso*Anthony!987,AnthonyJasso@disney.com,6902.0
Mauricio,Ornelas-Gutierrez,"April 2,  1939",69,"500 W. University Ave, El Paso, TX 79968",9157475032,1068,2068,3068,1158.7,4973.67,-1775.99,Ornelas-Gutierrez*Mauricio!987,MauricioOrnelas-Gutierrez@disney.com,5421.0
Cesar,Cabrera,"November 11,  1956",45,"500 W. University Ave, El Paso, TX 79968",9157475008,1044,2044,3044,1541.07,3242.37,-477.05,Cabrera*Cesar!987,CesarCabrera@disney.com,9099.0
Lidice,Castro Jimenez,"September 9,  1967",66,"500 W. University Ave, El Paso, TX 79968",9157475029,1065,2065,3065,359.48,3495.16,-848.78,Castro Jimenez*Lidice!987,LidiceCastro Jimenez@disney.com,7909.0
Daniel,T,"October 15,  1938",97,"500 W. University Ave, El Paso, TX 79968",9157475060,1096,2096,3096,1575.93,3933.31,-5.74,T*Daniel!987,DanielT@disney.com,7789.0
Minh,Dang,"November 6,  1981",70,"500 W. University Ave, El Paso, TX 79968",9157475033,1069,2069,3069,623.41,4545.28,-1026.33,Dang*Minh!987,MinhDang@disney.com,6806.0
Daniel,L,"May 15,  1930",90,"500 W. University Ave, El Paso, TX 79968",9157475053,1089,2089,3089,679.06,3328.88,-244.06,L*Daniel!987,DanielL@disney.com,7403.0
Daniel,S,"February 3,  1961",96,"500 W. University Ave, El Paso, TX 79968",9157475059,1095,2095,3095,1251.38,4256.77,-1147.74,S*Daniel!987,DanielS@disney.com,8566.0
Khandoker,Rahad,"July 22,  2010",77,"500 W. University Ave, El Paso, TX 79968",9157475040,1076,2076,3076,1527.29,103.53,-1886.38,Rahad*Khandoker!987,KhandokerRahad@disney.com,3329.0
Nathan,Aun,"April 26,  1987",76,"500 W. University Ave, El Paso, TX 79968",9157475039,1075,2075,3075,450.95,3284.9,-736.91,Aun*Nathan!987,NathanAun@disney.com,7422.0
Aurora,Disney,"September 17,  1994",14,"1313 Disneyland Dr, Anaheim, CA 92802",7147814636,1013,2013,3013,568.75,4745.56,-715.58,Disney*Aurora!987,AuroraDisney@disney.com,7527.0
Sofia,Hernandez,"December 9,  2011",74,"500 W. University Ave, El Paso, TX 79968",9157475037,1073,2073,3073,764.74,3354.61,-984.84,Hernandez*Sofia!987,SofiaHernandez@disney.com,3692.0
Alyssandra,Cordero,"October 2,  1930",41,"500 W. University Ave, El Paso, TX 79968",9157475004,1040,2040,3040,975.7,1419.14,-622.78,Cordero*Alyssandra!987,AlyssandraCordero@disney.com,3117.0
Daniel,G,"June 23,  1965",85,"500 W. University Ave, El Paso, TX 79968",9157475048,1084,2084,3084,717.17,1686.03,-782.02,G*Daniel!987,DanielG@disney.com,7368.0
Daniel,P,"January 4,  1954",93,"500 W. University Ave, El Paso, TX 79968",9157475056,1092,2092,3092,953.44,2992.45,-1254.62,P*Daniel!987,DanielP@disney.com,9482.0
Federico,Marin,"May 31,  2004",53,"500 W. University Ave, El Paso, TX 79968",9157475016,1052,2052,3052,54.19,2324.71,-1721.32,Marin*Federico!987,FedericoMarin@disney.com,8840.0
Prince,Eric,"August 7,  2014",31,"1313 Disneyland Dr, Anaheim, CA 92802",7147814636,1030,2030,3030,1984.69,3944.06,-1147.04,Eric*Prince!987,PrinceEric@disney.com,3436.0
Daniel,D,"June 16,  1940",82,"500 W. University Ave, El Paso, TX 79968",9157475045,1081,2081,3081,79.25,516.12,-1438.09,D*Daniel!987,DanielD@disney.com,3327.0
Jafar,Aladdin,"July 2,  1930",18,"1313 Disneyland Dr, Anaheim, CA 92802",7147814636,1017,2017,3017,1036.42,1359.25,-1124.05,Aladdin*Jafar!987,JafarAladdin@disney.com,9544.0
Minnie,Mouse,"October 14,  1940",3,"1313 Disneyland Dr, Anaheim, CA 92802",7147814636,1002,2002,3002,61.38,41.82,-440.11,Mouse*Minnie!987,MinnieMouse@disney.com,7672.0
